,viewCount,likeCount,commentCount,dislikeCount,subscriberCount,categoryId,ratio,popularity
290,1015867.0,101389.0,12050.0,2166.0,2166.0,24.0,469.0060018467221,1
291,64378.0,6398.0,250.0,137.0,137.0,24.0,469.9124087591241,1
292,26349.0,2039.0,118.0,56.0,56.0,22.0,470.51785714285717,1
293,942.0,59.0,0.0,2.0,2.0,24.0,471.0,1
294,37860.0,2507.0,1018.0,80.0,80.0,24.0,473.25,1
295,30800.0,3020.0,375.0,65.0,65.0,24.0,473.84615384615387,1
296,150730.0,9719.0,2746.0,318.0,318.0,22.0,473.9937106918239,1
297,1354168.0,10046.0,0.0,2853.0,2853.0,24.0,474.64703820539785,1
298,20905.0,3518.0,309.0,44.0,44.0,24.0,475.1136363636364,1
299,50871.0,2117.0,1122.0,107.0,107.0,24.0,475.4299065420561,1
300,6944610.0,37568.0,1523.0,14598.0,14598.0,24.0,475.7233867653103,1
301,221951.0,10292.0,0.0,466.0,466.0,22.0,476.28969957081546,1
302,205725657.0,983015.0,0.0,428998.0,428998.0,24.0,479.5492216746931,1
303,32743.0,3373.0,382.0,68.0,68.0,22.0,481.5147058823529,1
304,6261.0,1776.0,252.0,13.0,13.0,1.0,481.61538461538464,1
305,15552391.0,72033.0,0.0,32255.0,32255.0,24.0,482.1699271430786,1
306,4828.0,338.0,205.0,10.0,10.0,24.0,482.8,1
307,93861.0,7564.0,725.0,194.0,194.0,24.0,483.819587628866,1
308,5807.0,1250.0,135.0,12.0,12.0,1.0,483.9166666666667,1
309,236773.0,4651.0,214.0,489.0,489.0,23.0,484.19836400817996,1
310,631195.0,32597.0,670.0,1296.0,1296.0,22.0,487.03317901234567,1
311,113020.0,1026.0,94.0,232.0,232.0,24.0,487.1551724137931,1
312,234252.0,15905.0,2529.0,479.0,479.0,22.0,489.0438413361169,1
313,28452.0,2526.0,404.0,58.0,58.0,20.0,490.55172413793105,1
314,5726621.0,42070.0,1401.0,11607.0,11607.0,24.0,493.3764969415008,1
315,278083.0,13546.0,800.0,563.0,563.0,24.0,493.93072824156303,1
316,13552867.0,90202.0,3363.0,27401.0,27401.0,1.0,494.61213094412614,1
317,394455.0,6034.0,0.0,797.0,797.0,20.0,494.92471769134255,1
318,77596.0,9156.0,1194.0,156.0,156.0,22.0,497.4102564102564,1
319,9456.0,1142.0,317.0,19.0,19.0,1.0,497.6842105263158,1
320,40926.0,447.0,34.0,82.0,82.0,19.0,499.0975609756098,1
321,2997.0,267.0,227.0,6.0,6.0,20.0,499.5,1
322,9992.0,2019.0,0.0,20.0,20.0,24.0,499.6,1
323,858787.0,58410.0,2300.0,1714.0,1714.0,23.0,501.04259043173863,1
324,137870.0,11100.0,475.0,275.0,275.0,24.0,501.3454545454546,1
325,156700.0,703.0,0.0,312.0,312.0,1.0,502.2435897435897,1
326,42192.0,1555.0,318.0,84.0,84.0,24.0,502.2857142857143,1
327,3628320.0,308385.0,14823.0,7221.0,7221.0,22.0,502.46780224345656,1
328,78037.0,4427.0,221.0,154.0,154.0,24.0,506.73376623376623,1
329,29931.0,164.0,0.0,59.0,59.0,24.0,507.3050847457627,1
330,392863.0,30599.0,1862.0,771.0,771.0,22.0,509.54993514915697,1
331,9266500.0,618694.0,38729.0,18179.0,18179.0,23.0,509.73650915891966,1
332,18390.0,1807.0,133.0,36.0,36.0,22.0,510.8333333333333,1
333,500546.0,6119.0,0.0,977.0,977.0,24.0,512.3295803480041,1
334,264937.0,22253.0,1691.0,516.0,516.0,24.0,513.4437984496124,1
335,22151.0,1941.0,110.0,43.0,43.0,24.0,515.1395348837209,1
336,85799.0,352.0,0.0,166.0,166.0,24.0,516.8614457831326,1
337,504361.0,14513.0,656.0,975.0,975.0,24.0,517.2933333333333,1
338,72155.0,800.0,0.0,139.0,139.0,24.0,519.1007194244604,1
339,297720.0,22993.0,774.0,570.0,570.0,24.0,522.3157894736842,1
340,28286.0,5642.0,464.0,54.0,54.0,1.0,523.8148148148148,1
341,94358.0,2264.0,0.0,179.0,179.0,24.0,527.1396648044692,1
342,42707.0,2773.0,137.0,81.0,81.0,24.0,527.2469135802469,1
343,107179.0,1668.0,20.0,203.0,203.0,24.0,527.9753694581281,1
344,1322717.0,10534.0,0.0,2505.0,2505.0,24.0,528.030738522954,1
345,2688947.0,225248.0,8211.0,5069.0,5069.0,22.0,530.4689287827974,1
346,1807006.0,125367.0,7334.0,3400.0,3400.0,24.0,531.4723529411765,1
347,29262.0,386.0,223.0,55.0,55.0,22.0,532.0363636363636,1
348,6929.0,767.0,70.0,13.0,13.0,24.0,533.0,1
349,7555627.0,134900.0,12013.0,14158.0,14158.0,24.0,533.6648537929086,1
350,658810.0,5377.0,195.0,1233.0,1233.0,24.0,534.3146796431467,1
351,2139.0,86.0,42.0,4.0,4.0,19.0,534.75,1
352,241287.0,4657.0,662.0,451.0,451.0,24.0,535.0044345898004,1
353,76630.0,2113.0,493.0,143.0,143.0,23.0,535.8741258741259,1
354,78797.0,5459.0,448.0,147.0,147.0,22.0,536.0340136054422,1
355,22541.0,1057.0,209.0,42.0,42.0,24.0,536.6904761904761,1
356,325690.0,2377.0,104.0,606.0,606.0,24.0,537.4422442244224,1
357,149955.0,1167.0,70.0,279.0,279.0,24.0,537.4731182795699,1
358,718265.0,7928.0,0.0,1336.0,1336.0,24.0,537.623502994012,1
359,185562.0,3073.0,0.0,345.0,345.0,24.0,537.8608695652174,1
360,95004.0,1880.0,0.0,176.0,176.0,24.0,539.7954545454545,1
361,330902.0,5486.0,12.0,613.0,613.0,22.0,539.8075040783034,1
362,1811571.0,8366.0,179.0,3337.0,3337.0,24.0,542.8741384477075,1
